urlexample :http//:someurl
bug :http://agario-skins.org/images/skins/custom/bug.png?v0.10.3
pirate :http://agario-skins.org/images/skins/custom/pirate.png?v0.10.3
Luchador :http://agario-skins.org/custom-skins/luchador
sun :http://agario-skins.org/images/skins/custom/sun.png?v0.10.3
candy :http://agario-skins.org/images/skins/custom/candy.png?v0.10.3
bowling :http://agario-skins.org/images/skins/custom/bowling.png?v0.10.3
terrible :http://agario-skins.org/images/skins/custom/terrible.png?v0.10.3
owl :http://agario-skins.org/images/skins/custom/owl.png?v0.10.3
cookie :http://agario-skins.org/images/skins/custom/cookie.png?v0.10.3
octopus :http://agario-skins.org/images/skins/custom/octopus.png?v0.10.3
jupiter :http://agario-skins.org/images/skins/custom/jupiter.png?v0.10.3
galaxy :http://agario-skins.org/images/skins/custom/galaxy.png?v0.10.3
cat :http://agario-skins.org/images/skins/custom/cat.png?v0.10.3
panda :http://agario-skins.org/images/skins/custom/panda.png?v0.10.3
cloud :http://agario-skins.org/images/skins/custom/cloud.png?v0.10.3
nuclear :http://agario-skins.org/images/skins/custom/nuclear.png?v0.10.3
nose :http://agario-skins.org/images/skins/custom/nose.png?v0.10.3
dog :http://agario-skins.org/images/skins/custom/dog.png?v0.10.3
crazy :http://agario-skins.org/images/skins/custom/crazy.png?v0.10.3
neptune :http://agario-skins.org/images/skins/custom/neptune.png?v0.10.3
army :http://agario-skins.org/images/skins/custom/army.png?v0.10.3
mushroom :http://agario-skins.org/images/skins/custom/mushroom.png?v0.10.3
hockey :http://agario-skins.org/images/skins/custom/hockey.png?v0.10.3
mouse :http://agario-skins.org/images/skins/custom/mouse.png?v0.10.3
goldfish :http://agario-skins.org/images/skins/custom/goldfish.png?v0.10.3
breakfast :http://agario-skins.org/images/skins/custom/breakfast.png?v0.10.3
eye :http://agario-skins.org/images/skins/custom/eye.png?v0.10.3
pluto :http://agario-skins.org/images/skins/custom/pluto.png?v0.10.3
frog :http://agario-skins.org/images/skins/custom/frog.png?v0.10.3
heart :http://agario-skins.org/images/skins/custom/heart.png?v0.10.3
SpaceHunter :https://i.imgur.com/jFGr12S.png
GreenMan :https://i.imgur.com/Fpa1JrT.png
Blob :https://i.imgur.com/rAcoXvC.png
SlimeFace :https://i.imgur.com/zHJNseK.png
Invader :https://i.imgur.com/irD0ysy.png
Tortilha :https://i.imgur.com/RCmpfBW.png
Cupid :https://i.imgur.com/3Z1k2xc.png
Pinhata :https://i.imgur.com/PHwqlY0.png
SoccerBall :https://i.imgur.com/U8W7Vg1.png
Keeper :https://i.imgur.com/c6mtjYL.png
SoccerBoot :https://i.imgur.com/jx3cfBP.png
Striker :https://i.imgur.com/SVHiUZe.png
StarPlayer :https://i.imgur.com/MrWqy79.png
Witch :http://i.imgur.com/lOST8Cw.png
Mask :http://i.imgur.com/roPRmk1.png
BlackCat :http://i.imgur.com/5cpb5qu.png
Thirteen :http://i.imgur.com/BMTDWYY.png
Crow :http://i.imgur.com/Ceob46v.png
KissBoy :http://i.imgur.com/Ru6jMiu.png
KissGirl :http://i.imgur.com/SEip7IG.png
Santa :http://i.imgur.com/icwvKpx.png
Grinch :http://i.imgur.com/6GJ8Q34.png
GingerBread :http://i.imgur.com/78nIQGX.png
BraveLion :http://i.imgur.com/3vZiWcb.png
FunshineBear :http://i.imgur.com/b4oJNpI.png
LotsaElephant :http://i.imgur.com/F7ADoI0.png
TenderBear :http://i.imgur.com/HLPPIJp.png
BrightRaccoon :http://i.imgur.com/A4tu3vn.png
CozyPenguin :http://i.imgur.com/qGiHlnw.png
eagle :http://i.imgur.com/3BFiSYa.png
liberty :http://i.imgur.com/rpm0aM2.png
mighty :http://i.imgur.com/z6Elvcw.png
SkyRocket :http://i.imgur.com/tAEzrtz.png
Stars :http://i.imgur.com/sTH5znw.png
UncleSam :http://i.imgur.com/LPbmQKP.png
SkullFace :http://i.imgur.com/HpjHNiz.png
Hornhead :http://i.imgur.com/R7VGeBj.png
DustBrain :http://i.imgur.com/fxHKUW6.png
Meemie :http://i.imgur.com/B3GC5T1.png
OculusOrbus :http://i.imgur.com/fHJ4K6z.png
Sombrero :http://i.imgur.com/gR7qlXU.png
Troll :http://agario-skins.org/images/skins/custom/birthday-troll.png?v0.10.5
Sanik :http://agario-skins.org/images/skins/custom/birthday-sanik.png?v0.10.5
Lol :http://agario-skins.org/images/skins/custom/birthday-lol.png?v0.10.5
Cia :http://agario-skins.org/images/skins/custom/birthday-cia.png?v0.10.5
Doge :http://agario-skins.org/images/skins/custom/birthday-doge.png?v0.10.5
Diver :http://agario-skins.org/images/skins/custom/diver.png?v0.10.5
Sir :http://agario-skins.org/images/skins/custom/birthday-sir.png?v0.10.5
Wojak :http://agario-skins.org/images/skins/custom/birthday-wojak.png?v0.10.5
T_rex :http://agario-skins.org/images/skins/custom/t-rex.png?v0.10.5
burger :http://agario-skins.org/images/skins/custom/hamburguer.png?v0.10.5
star_fish :http://agario-skins.org/images/skins/custom/star-fish.png?v0.10.
cupcake :http://agario-skins.org/images/skins/custom/cup-cake.png?v0.10.5
Terminita :http://agario-skins.org/images/skins/custom/terminita.png?v0.10.5
fries :http://agario-skins.org/images/skins/custom/french-fries.png?v0.10.5
can :http://agario-skins.org/images/skins/custom/juice-can.png?v0.10.5
coffe :http://agario-skins.org/images/skins/custom/coffee.png?v0.10.5
jelly :http://agario-skins.org/images/skins/custom/jelly-face.png?v0.10.5
Surfer :http://agario-skins.org/images/skins/custom/surfer.png?v0.10.5
clover :http://agario-skins.org/images/skins/custom/leaf-clover.png?v0.10.5
horse_shoe :http://agario-skins.org/images/skins/custom/horse-shoe.png?v0.10.5
chicken_leg :http://agario-skins.org/images/skins/custom/chicken-leg.png?v0.10.5
chihuahua :http://agario-skins.org/images/skins/custom/chihuahua.png?v0.10.5
aprilfool :http://agario-skins.org/images/skins/custom/april-fool.png?v0.10.5
shuttle :http://agario-skins.org/images/skins/custom/shuttle.png?v0.10.5
